ShipmentID,SPID,PID,GID,Shipdate,Amount,Boxes,Order_Status,Revenue_per_box,Profit,Cost_price,Profit_Margin%,Sales_Person,Team,Product,Category,Country,Region,Cost_per_box,cancelled
S00000004,SP01,P14,G2,2023-05-05,7107.75,285,Delivered,24.94,5275.2,1832.55,74.21757940276458,Ramalingam Kothapeta,Yummies,White Choc,Other,USA,Americas,6.43,0
S00000009,SP01,P14,G4,2023-08-22,8664.75,377,Cancelled,22.98,6240.64,2424.11,72.02331284803371,Ramalingam Kothapeta,Yummies,White Choc,Other,New Zealand,APAC,6.43,1
S00000013,SP01,P14,G6,2023-10-23,2346.75,103,Delivered,22.78,1684.46,662.29,71.77841695962502,Ramalingam Kothapeta,Yummies,White Choc,Other,UK,Europe,6.43,0
S00000032,SP01,P14,G2,2023-06-06,4234.5,152,Delivered,27.86,3257.14,977.36,76.91911677884048,Ramalingam Kothapeta,Yummies,White Choc,Other,USA,Americas,6.43,0
S00000033,SP01,P14,G2,2024-12-03,9252.0,421,Delivered,21.98,6544.97,2707.03,70.74113705144833,Ramalingam Kothapeta,Yummies,White Choc,Other,USA,Americas,6.43,0
S00000037,SP01,P14,G4,2023-07-17,904.5,33,Delivered,27.41,692.31,212.19,76.54063018242122,Ramalingam Kothapeta,Yummies,White Choc,Other,New Zealand,APAC,6.43,0
S00000043,SP01,P14,G1,2024-10-02,355.5,14,Delivered,25.39,265.48,90.02,74.67791842475387,Ramalingam Kothapeta,Yummies,White Choc,Other,India,APAC,6.43,0
S00000047,SP01,P14,G2,2023-07-24,513.0,23,Delivered,22.3,365.11,147.89,71.17153996101365,Ramalingam Kothapeta,Yummies,White Choc,Other,USA,Americas,6.43,0
S00000048,SP01,P14,G3,2023-07-26,5382.0,216,Delivered,24.92,3993.12,1388.88,74.19397993311037,Ramalingam Kothapeta,Yummies,White Choc,Other,Canada,Americas,6.43,0
S00000059,SP01,P01,G1,2025-03-21,569.25,26,Placed,21.89,432.49,136.76,75.9754062362758,Ramalingam Kothapeta,Yummies,Milk Bars,Bars,India,APAC,5.26,0
S00000062,SP01,P01,G3,2024-08-14,1291.5,65,Delivered,19.87,949.6,341.9,73.52690669763841,Ramalingam Kothapeta,Yummies,Milk Bars,Bars,Canada,Americas,5.26,0
S00000063,SP01,P01,G4,2024-10-10,11313.0,539,Delivered,20.99,8477.86,2835.14,74.93909661451428,Ramalingam Kothapeta,Yummies,Milk Bars,Bars,New Zealand,APAC,5.26,0
S00000080,SP01,P01,G5,2025-02-10,6059.25,289,Shipped,20.97,4539.11,1520.14,74.91207657713413,Ramalingam Kothapeta,Yummies,Milk Bars,Bars,Australia,APAC,5.26,0
S00000085,SP01,P01,G1,2024-07-10,3163.5,159,Delivered,19.9,2327.16,836.34,73.56282598387861,Ramalingam Kothapeta,Yummies,Milk Bars,Bars,India,APAC,5.26,0
S00000093,SP01,P01,G4,2024-04-09,9659.25,460,Delivered,21.0,7239.65,2419.6,74.95043611046405,Ramalingam Kothapeta,Yummies,Milk Bars,Bars,New Zealand,APAC,5.26,0
S00000094,SP01,P01,G5,2023-04-06,4740.75,198,Delivered,23.94,3699.27,1041.48,78.03132415757,Ramalingam Kothapeta,Yummies,Milk Bars,Bars,Australia,APAC,5.26,0
S00000095,SP01,P01,G5,2023-12-21,8433.0,338,Delivered,24.95,6655.12,1777.88,78.91758567532314,Ramalingam Kothapeta,Yummies,Milk Bars,Bars,Australia,APAC,5.26,0
S00000100,SP01,P01,G1,2023-05-29,9297.0,358,Delivered,25.97,7413.92,1883.08,79.74529418091858,Ramalingam Kothapeta,Yummies,Milk Bars,Bars,India,APAC,5.26,0
S00000109,SP01,P01,G5,2023-10-23,3694.5,143,Delivered,25.84,2942.32,752.18,79.64054675869536,Ramalingam Kothapeta,Yummies,Milk Bars,Bars,Australia,APAC,5.26,0
