ShipmentID,SPID,PID,GID,Shipdate,Amount,Boxes,Order_Status,Revenue_per_box,Cost_price,Profit,Profit_Margin%,Sales_Person,Team,Product,Category,Country,Region,Cost_per_box,cancelled,,,
S00000004,SP01,P14,G2,05-May-23,7107.75,285,Delivered,24.94,5275.2,1832.55,25.78,Ramalingam Kothapeta,Yummies,White Choc,Other,USA,Americas,6.43,0,,,
S00000009,SP01,P14,G4,22-Aug-23,8664.75,377,Cancelled,22.98,6240.64,2424.11,27.98,Ramalingam Kothapeta,Yummies,White Choc,Other,New Zealand,APAC,6.43,1,,,
S00000013,SP01,P14,G6,23-Oct-23,2346.75,103,Delivered,22.78,1684.46,662.29,28.22,Ramalingam Kothapeta,Yummies,White Choc,Other,UK,Europe,6.43,0,,,
S00000032,SP01,P14,G2,06-Jun-23,4234.5,152,Delivered,27.86,3257.14,977.36,23.08,Ramalingam Kothapeta,Yummies,White Choc,Other,USA,Americas,6.43,0,,,
S00000033,SP01,P14,G2,03-Dec-24,9252,421,Delivered,21.98,6544.97,2707.03,29.26,Ramalingam Kothapeta,Yummies,White Choc,Other,USA,Americas,6.43,0,,,
S00000037,SP01,P14,G4,17-Jul-23,904.5,33,Delivered,27.41,692.31,212.19,23.46,Ramalingam Kothapeta,Yummies,White Choc,Other,New Zealand,APAC,6.43,0,,,
S00000043,SP01,P14,G1,02-Oct-24,355.5,14,Delivered,25.39,265.48,90.02,25.32,Ramalingam Kothapeta,Yummies,White Choc,Other,India,APAC,6.43,0,,,
S00000047,SP01,P14,G2,24-Jul-23,513,23,Delivered,22.3,365.11,147.89,28.83,Ramalingam Kothapeta,Yummies,White Choc,Other,USA,Americas,6.43,0,,,
S00000048,SP01,P14,G3,26-Jul-23,5382,216,Delivered,24.92,3993.12,1388.88,25.81,Ramalingam Kothapeta,Yummies,White Choc,Other,Canada,Americas,6.43,0,,,
S00000059,SP01,P01,G1,21-Mar-25,569.25,26,Placed,21.89,432.49,136.76,24.02,Ramalingam Kothapeta,Yummies,Milk Bars,Bars,India,APAC,5.26,0,,,
S00000062,SP01,P01,G3,14-Aug-24,1291.5,65,Delivered,19.87,949.6,341.9,26.47,Ramalingam Kothapeta,Yummies,Milk Bars,Bars,Canada,Americas,5.26,0,,,
S00000063,SP01,P01,G4,10-Oct-24,11313,539,Delivered,20.99,8477.86,2835.14,25.06,Ramalingam Kothapeta,Yummies,Milk Bars,Bars,New Zealand,APAC,5.26,0,,,
S00000080,SP01,P01,G5,10-Feb-25,6059.25,289,Shipped,20.97,4539.11,1520.14,25.09,Ramalingam Kothapeta,Yummies,Milk Bars,Bars,Australia,APAC,5.26,0,,,
S00000085,SP01,P01,G1,10-Jul-24,3163.5,159,Delivered,19.9,2327.16,836.34,26.44,Ramalingam Kothapeta,Yummies,Milk Bars,Bars,India,APAC,5.26,0,,,
S00000093,SP01,P01,G4,09-Apr-24,9659.25,460,Delivered,21,7239.65,2419.6,25.05,Ramalingam Kothapeta,Yummies,Milk Bars,Bars,New Zealand,APAC,5.26,0,,,
S00000094,SP01,P01,G5,06-Apr-23,4740.75,198,Delivered,23.94,3699.27,1041.48,21.97,Ramalingam Kothapeta,Yummies,Milk Bars,Bars,Australia,APAC,5.26,0,,,
S00000095,SP01,P01,G5,21-Dec-23,8433,338,Delivered,24.95,6655.12,1777.88,21.08,Ramalingam Kothapeta,Yummies,Milk Bars,Bars,Australia,APAC,5.26,0,,,
S00000100,SP01,P01,G1,29-May-23,9297,358,Delivered,25.97,7413.92,1883.08,20.25,Ramalingam Kothapeta,Yummies,Milk Bars,Bars,India,APAC,5.26,0,,,
S00000109,SP01,P01,G5,23-Oct-23,3694.5,143,Delivered,25.84,2942.32,752.18,20.36,Ramalingam Kothapeta,Yummies,Milk Bars,Bars,Australia,APAC,5.26,0,,,
S00000117,SP01,P06,G2,04-Mar-24,4731.75,474,Delivered,9.98,1740.81,2990.94,63.21,Ramalingam Kothapeta,Yummies,Eclairs,Bites,USA,Americas,6.31,0,,,
S00000121,SP01,P06,G4,06-Sep-23,13299.75,1109,Delivered,11.99,6301.96,6997.79,52.62,Ramalingam Kothapeta,Yummies,Eclairs,Bites,New Zealand,APAC,6.31,0,,,
S00000128,SP01,P06,G1,19-Feb-24,931.5,85,Delivered,10.96,395.15,536.35,57.58,Ramalingam Kothapeta,Yummies,Eclairs,Bites,India,APAC,6.31,0,,,
S00000145,SP01,P06,G2,06-Dec-24,1917,175,Delivered,10.95,812.75,1104.25,57.6,Ramalingam Kothapeta,Yummies,Eclairs,Bites,USA,Americas,6.31,0,,,
S00000149,SP01,P06,G4,15-Nov-23,16467.75,2059,Delivered,8,3475.46,12992.29,78.9,Ramalingam Kothapeta,Yummies,Eclairs,Bites,New Zealand,APAC,6.31,0,,,
S00000150,SP01,P06,G5,28-Jan-25,1377,115,Shipped,11.97,651.35,725.65,52.7,Ramalingam Kothapeta,Yummies,Eclairs,Bites,Australia,APAC,6.31,0,,,
S00000151,SP01,P06,G5,22-Feb-23,1849.5,265,Delivered,6.98,177.35,1672.15,90.41,Ramalingam Kothapeta,Yummies,Eclairs,Bites,Australia,APAC,6.31,0,,,
S00000152,SP01,P06,G5,17-Jan-25,1593,200,Shipped,7.97,331,1262,79.22,Ramalingam Kothapeta,Yummies,Eclairs,Bites,Australia,APAC,6.31,0,,,
S00000156,SP01,P06,G1,20-Feb-23,2310.75,178,Delivered,12.98,1187.57,1123.18,48.61,Ramalingam Kothapeta,Yummies,Eclairs,Bites,India,APAC,6.31,0,,,
S00000161,SP01,P06,G4,18-Jan-23,7980.75,726,Delivered,10.99,3399.69,4581.06,57.4,Ramalingam Kothapeta,Yummies,Eclairs,Bites,New Zealand,APAC,6.31,0,,,
S00000162,SP01,P06,G4,01-Dec-23,7800.75,710,Delivered,10.99,3320.65,4480.1,57.43,Ramalingam Kothapeta,Yummies,Eclairs,Bites,New Zealand,APAC,6.31,0,,,
S00000175,SP01,P19,G4,14-Jul-23,33.75,2,Delivered,16.88,23.67,10.08,29.87,Ramalingam Kothapeta,Yummies,70% Dark Bites,Bites,New Zealand,APAC,5.04,0,,,
S00000179,SP01,P19,G5,14-Jun-24,3066.75,162,Delivered,18.93,2250.27,816.48,26.62,Ramalingam Kothapeta,Yummies,70% Dark Bites,Bites,Australia,APAC,5.04,0,,,
S00000188,SP01,P19,G3,25-Jul-23,5917.5,296,Delivered,19.99,4425.66,1491.84,25.21,Ramalingam Kothapeta,Yummies,70% Dark Bites,Bites,Canada,Americas,5.04,0,,,
S00000189,SP01,P19,G4,01-Oct-24,1827,84,Delivered,21.75,1403.64,423.36,23.17,Ramalingam Kothapeta,Yummies,70% Dark Bites,Bites,New Zealand,APAC,5.04,0,,,
S00000190,SP01,P19,G4,16-Feb-23,6570,299,Delivered,21.97,5063.04,1506.96,22.94,Ramalingam Kothapeta,Yummies,70% Dark Bites,Bites,New Zealand,APAC,5.04,0,,,
S00000209,SP01,P19,G6,23-Oct-24,3161.25,132,Cancelled,23.95,2495.97,665.28,21.04,Ramalingam Kothapeta,Yummies,70% Dark Bites,Bites,UK,Europe,5.04,1,,,
S00000211,SP01,P19,G1,01-Dec-23,9459,473,Delivered,20,7075.08,2383.92,25.2,Ramalingam Kothapeta,Yummies,70% Dark Bites,Bites,India,APAC,5.04,0,,,
S00000217,SP01,P19,G4,11-Jun-24,16839,733,Delivered,22.97,13144.68,3694.32,21.94,Ramalingam Kothapeta,Yummies,70% Dark Bites,Bites,New Zealand,APAC,5.04,0,,,
S00000226,SP01,P19,G1,08-May-23,6050.25,276,Delivered,21.92,4659.21,1391.04,22.99,Ramalingam Kothapeta,Yummies,70% Dark Bites,Bites,India,APAC,5.04,0,,,
S00000227,SP01,P19,G1,05-Dec-23,1599.75,64,Delivered,25,1277.19,322.56,20.16,Ramalingam Kothapeta,Yummies,70% Dark Bites,Bites,India,APAC,5.04,0,,,
S00000231,SP01,P19,G4,26-Jul-24,3215.25,170,Delivered,18.91,2358.45,856.8,26.65,Ramalingam Kothapeta,Yummies,70% Dark Bites,Bites,New Zealand,APAC,5.04,0,,,
S00000238,SP01,P15,G1,31-Oct-23,3755.25,269,Delivered,13.96,416.96,3338.29,88.9,Ramalingam Kothapeta,Yummies,Baker's Choco Chips,Bars,India,APAC,12.41,0,,,
S00000239,SP01,P15,G1,29-Jun-23,4882.5,376,Delivered,12.99,216.34,4666.16,95.57,Ramalingam Kothapeta,Yummies,Baker's Choco Chips,Bars,India,APAC,12.41,0,,,
S00000247,SP01,P15,G4,24-Mar-25,4578.75,382,Placed,11.99,-161.87,4740.62,103.54,Ramalingam Kothapeta,Yummies,Baker's Choco Chips,Bars,New Zealand,APAC,12.41,0,,,
S00000252,SP01,P15,G1,14-May-24,371.25,38,Delivered,9.77,-100.33,471.58,127.02,Ramalingam Kothapeta,Yummies,Baker's Choco Chips,Bars,India,APAC,12.41,0,,,
S00000256,SP01,P15,G2,10-Feb-25,3921.75,246,Shipped,15.94,868.89,3052.86,77.84,Ramalingam Kothapeta,Yummies,Baker's Choco Chips,Bars,USA,Americas,12.41,0,,,
S00000266,SP01,P15,G1,01-Feb-24,2281.5,176,Delivered,12.96,97.34,2184.16,95.73,Ramalingam Kothapeta,Yummies,Baker's Choco Chips,Bars,India,APAC,12.41,0,,,
S00000267,SP01,P15,G1,11-Sep-23,4191.75,350,Delivered,11.98,-151.75,4343.5,103.62,Ramalingam Kothapeta,Yummies,Baker's Choco Chips,Bars,India,APAC,12.41,0,,,
S00000272,SP01,P15,G3,10-Mar-23,9229.5,616,Delivered,14.98,1584.94,7644.56,82.83,Ramalingam Kothapeta,Yummies,Baker's Choco Chips,Bars,Canada,Americas,12.41,0,,,
S00000278,SP01,P15,G5,14-Jan-25,5004,417,Shipped,12,-170.97,5174.97,103.42,Ramalingam Kothapeta,Yummies,Baker's Choco Chips,Bars,Australia,APAC,12.41,0,,,
S00000279,SP01,P15,G6,24-Mar-25,8525.25,711,Placed,11.99,-298.26,8823.51,103.5,Ramalingam Kothapeta,Yummies,Baker's Choco Chips,Bars,UK,Europe,12.41,0,,,
S00000285,SP01,P15,G2,29-Nov-23,2920.5,293,Delivered,9.97,-715.63,3636.13,124.5,Ramalingam Kothapeta,Yummies,Baker's Choco Chips,Bars,USA,Americas,12.41,0,,,
S00000288,SP01,P15,G4,19-Jun-23,2085.75,131,Delivered,15.92,460.04,1625.71,77.94,Ramalingam Kothapeta,Yummies,Baker's Choco Chips,Bars,New Zealand,APAC,12.41,0,,,
S00000290,SP01,P15,G5,22-Jan-24,8597.25,538,Delivered,15.98,1920.67,6676.58,77.66,Ramalingam Kothapeta,Yummies,Baker's Choco Chips,Bars,Australia,APAC,12.41,0,,,
S00000292,SP01,P15,G5,11-Dec-24,387,33,Delivered,11.73,-22.53,409.53,105.82,Ramalingam Kothapeta,Yummies,Baker's Choco Chips,Bars,Australia,APAC,12.41,0,,,
